a)
iteracje	Układ nr	X	Y
1	2	1	1
2	1	-1,4	-0,3
3	2	-0,944	-0,788
4	2	-0,40224	-0,97648
5	2	0,0848896	-0,9030208
6	2	0,425724416	-0,652339968
7	2	0,58448654336	-0,32548860928
8	1	-1,233794617344	0,230195443712
9	2	-1,02976208666624	-0,31856930971648
10	2	-0,65519146197975	-0,654017510051021
11	2	-0,236338507084202	-0,759129892430676
12	2	0,124034691588277	-0,671474121080995
13	2	0,362856014039488	-0,460706455386245
14	1	-1,1451424056158	0,284282582154498
15	1	-0,541943037753682	-0,013713032861799
16	2	-0,406391495548079	-0,22719912007644
17	1	-0,837443401780769	0,190879648030576
18	2	-0,712808844565615	-0,18990882820907
19	2	-0,465771190586239	-0,429454247265139
20	1	-0,813691523765504	0,271781698906056
21	1	-0,674523390493798	-0,008712679562422
22	2	-0,509152704950318	-0,27643099266496
23	1	-0,796338918019873	0,210572397065984
24	1	-0,681464432792051	0,015771041173606
25	2	-0,524221385391401	-0,26059978182488
26	1	-0,79031144584344	0,204239912729952
27	2	-0,682332663932995	-0,160902244662612
28	2	-0,454211926724031	-0,395218771516783
29	2	-0,18711355570355	-0,482051037042368
30	1	-0,92515457771858	0,292820414816947
31	1	-0,629938168912568	-0,017128165926779
32	2	-0,47190174200284	-0,264992673669379
33	1	-0,811239303198864	0,205997069467752
34	2	-0,698940698218237	-0,167937948484054
35	1	-0,720423720712705	0,167175179393622
36	1	-0,711830511714918	0,033129928242551
37	1	-0,715267795314033	0,08674802870298
38	1	-0,713892881874387	0,065300788518808
39	1	-0,714442847250245	0,073879684592477
40	1	-0,714222861099902	0,070448126163009
41	1	-0,714310855560039	0,071820749534796
42	2	-0,571604550039548	-0,23114057257757
43	1	-0,771358179984181	0,192456229031028
44	1	-0,691456728006328	0,023017508387589
45	1	-0,723417308797469	0,090792996644965
46	1	-0,710633076481012	0,063682801342014
47	1	-0,715746769407595	0,074526879463194
48	1	-0,713701292236962	0,070189248214722
49	2	-0,57048868138598	-0,232136688251596
50	1	-0,771804527445608	0,192854675300638
51	2	-0,663713310978917	-0,162152257749758
52	2	-0,439561213244074	-0,388721040281383
53	2	-0,178578105952943	-0,471252475911481
54	1	-0,928568757618823	0,288500990364592
55	2	-0,821112651936142	-0,152166750370439
56	1	-0,671554939225543	0,160866700148176
57	2	-0,574728433870683	-0,146363283577604
58	2	-0,378248296310678	-0,341127469067252
59	2	-0,151017717569214	-0,410556195015383
60	1	-0,939592912972314	0,264222478006153
61	1	-0,624162834811074	-0,005688991202461
62	1	-0,75033486607557	0,102275596480985
63	1	-0,699866053569772	0,059089761407606
64	2	-0,555534105276069	-0,235038202758128
65	2	-0,328190638906561	-0,400842676206605
66	2	-0,089087815086345	-0,435916689479644
67	2	0,106659936326236	-0,366931810039068
68	1	-1,04266397453049	0,246772724015627
69	1	-0,582934410187802	0,001290910393749
70	2	-0,443546515900229	-0,232192672175871
71	2	-0,244218283213826	-0,353885037213754
72	1	-0,90231268671447	0,241554014885502
73	1	-0,639074925314212	0,003378394045799
74	1	-0,744370029874315	0,09864864238168
75	2	-0,605180679657152	-0,222775043739649
76	2	-0,370827299043576	-0,411381305104994
77	1	-0,85166908038257	0,264552522041998
78	2	-0,753089509907552	-0,13960771540111
79	1	-0,698764196036979	0,155843086160444
80	2	-0,593398023452282	-0,161064932932854
81	2	-0,386556524650592	-0,359768558409882
82	1	-0,845377390139763	0,243907423363953
83	1	-0,661849043944095	0,002437030654419
84	1	-0,735260382422362	0,099025187738233
85	1	-0,705895847031055	0,060389924904707
86	1	-0,717641661187578	0,075844030038117
87	2	-0,575745274517806	-0,229415201646062
88	1	-0,769701890192878	0,191766080658425
89	1	-0,692119243922849	0,02329356773663
90	2	-0,535328052476017	-0,259144586089301
91	2	-0,303191485446053	-0,411081106418275
92	2	-0,06599308637169	-0,43369823505631
93	2	0,12332454838004	-0,356007893191472
94	2	0,236129814045419	-0,221236179473503
95	2	0,26795313046392	-0,073687570781695
96	2	0,233119407465257	0,05117869839148
97	1	-1,0932477629861	0,079528520643408
98	2	-0,862679708126801	-0,376857429505451
99	2	-0,504893606374188	-0,631483529674863
100	1	-0,798042557450325	0,352593411869945
101	2	-0,747549708410225	-0,051246029958972
102	1	-0,70098011663591	0,120498411983589
103	2	-0,580944253436727	-0,188813253546837
104	2	-0,365992331193178	-0,375875774070287
105	2	-0,1278038620787	-0,432062520770689
106	1	-0,94887845516852	0,272825008308276
107	2	-0,830277629251385	-0,172204375753118
108	1	-0,667888948299446	0,168881750301247
109	2	-0,575148300828078	-0,13880544909083
110	2	-0,381590528993007	-0,335551461640262
111	2	-0,15578821737858	-0,407655322443802
112	1	-0,937684713048568	0,263062128977521
113	2	-0,81786523350792	-0,175146667196511
114	1	-0,672853906596832	0,170058666878605
115	1	-0,730858437361267	0,031976533248558
116	1	-0,707656625055493	0,087209386700577
117	1	-0,716937349977803	0,065116245319769
118	2	-0,570918884111038	-0,237286593548096
119	1	-0,771632446355585	0,194914637419239
120	2	-0,66440651419794	-0,160517854103613
121	2	-0,440741809148989	-0,387756174797922
122	1	-0,823703276340404	0,255102469919169
123	2	-0,728055477986375	-0,135603433397594
124	1	-0,70877780880545	0,154241373359037
125	2	-0,600367684035757	-0,166287679769312
126	2	-0,389764367959451	-0,36652571023898
127	2	-0,149610635553591	-0,434465286965405
128	1	-0,940155745778564	0,273786114786162
129	1	-0,623937701688575	-0,009514445914465
130	2	-0,470386874917531	-0,256806059570423
131	2	-0,254771601109154	-0,383327355240534
132	1	-0,898091359556338	0,253330942096214
133	2	-0,783881810101303	-0,166705027829413
134	1	-0,686447275959479	0,166682011131765
135	1	-0,725421089616208	0,033327195547294
136	2	-0,564650906327236	-0,26483976723054
137	2	-0,323198781916483	-0,427138585626105
138	2	-0,074775640006085	-0,453904837842433
139	2	0,124732448732348	-0,374877932762683
140	2	0,244747834141658	-0,2350142494067
141	1	-1,09789913365666	0,19400569976268
142	1	-0,560840346537335	0,022397720094928
143	2	-0,435197751406346	-0,207313871342789
144	1	-0,825920899437462	0,182925548537115
145	1	-0,669631640225015	0,026829780585154
146	2	-0,519651958805073	-0,247462022845289
147	1	-0,792139216477971	0,198984809138116
148	2	-0,681619728178504	-0,16562723164622
149	1	-0,727352108728598	0,166250892658488
150	2	-0,61928795969713	-0,164590165070988
151	1	-0,752284816121148	0,165836066028395
152	1	-0,699086073551541	0,033665573588642
153	1	-0,720365570579384	0,086533770564543
154	1	-0,711853771768246	0,065386491774183
155	1	-0,715258491292701	0,073845403290327
156	2	-0,573134614698584	-0,229980890016432
157	2	-0,343589951164351	-0,404039322291922
158	2	-0,099512633968138	-0,444505865407601
159	2	0,102172744347256	-0,377629511297032
160	2	0,228703090222727	-0,246129330846842
161	1	-1,09148123608909	0,198451732338737
162	2	-0,908906432363204	-0,285769177858196
163	2	-0,576461217452756	-0,580747148117511
164	1	-0,769415513018898	0,332298859247004
165	2	-0,717675333593164	-0,055219072179836
166	1	-0,712929866562734	0,122087628871934
167	2	-0,590661750136452	-0,192385348682424
168	2	-0,371948790630734	-0,382477565053223
169	1	-0,851220483747706	0,252991026021289
170	2	-0,748123978056773	-0,148215013722903
171	2	-0,509288217833986	-0,411893001652115
172	2	-0,222301844892983	-0,516753968389202
173	2	0,037752185237014	-0,481653753932987
174	2	0,221353162353325	-0,350955978894264
175	2	0,308610794946233	-0,178185279018311
176	2	0,305818315766461	-0,011976494075423
177	2	0,23721251761268	0,113225190809263
178	2	0,134991437061932	0,180936152060112
